ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Year,Age,Has_Kids_Teens,Customer_Tenure,Total_Spending,Age_Group,Income_Group,Education_Num
5524,1957,Graduation (Unspecified),Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,57,False,2,1617,46-60,Medium,2
2174,1954,Graduation (Unspecified),Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,60,True,0,27,46-60,Low,2
4141,1965,Graduation (Unspecified),Cohabiting,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,49,False,1,776,46-60,High,2
6182,1984,Graduation (Unspecified),Cohabiting,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,30,True,0,53,18-30,Low,2
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,33,True,0,422,31-45,Medium,4
7446,1967,Master,Cohabiting,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,47,True,1,716,46-60,Medium,3
965,1971,Graduation (Unspecified),Previously Married,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,43,True,2,590,31-45,Medium,2
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,29,True,1,169,18-30,Low,4
4855,1974,PhD,Cohabiting,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,40,True,1,46,31-45,Low,4
5899,1950,PhD,Cohabiting,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,64,True,0,49,60+,Low,4
1994,1983,Graduation (Unspecified),Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,31,True,1,19,31-45,Low,2
387,1976,Basic Education,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012,38,False,2,61,31-45,Low,1
2125,1959,Graduation (Unspecified),Previously Married,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013,55,False,1,1102,46-60,Medium,2
8180,1952,Master,Previously Married,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013,62,True,1,310,60+,Medium,3
2569,1987,Graduation (Unspecified),Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,27,False,2,46,18-30,Low,2
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012,68,False,2,1315,60+,High,4
9736,1980,Graduation (Unspecified),Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,34,True,2,96,31-45,Low,2
4939,1946,Graduation (Unspecified),Cohabiting,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012,68,False,2,317,60+,Low,2
2278,1985,Master,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2012,29,True,2,133,18-30,Low,3
9360,1982,Graduation (Unspecified),Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,2012,32,False,2,316,31-45,Low,2
